S_AMPEAK_TT,S_AMOFFPEAK_TTV,S_AMOFFPEAK_TT,S_PMOFFPEAK_TT,S_PMPEAK_TT,S_EVENING_TT,S_AMOFFPEAK_OCCUPANCY,S_PMOFFPEAK_OCCUPANCY,S_PMPEAK_OCCUPANCY,D_AMPEAK_OCCUPANCY,D_AMOFFPEAK_OCCUPANCY,D_PMOFFPEAK_OCCUPANCY,folder,m0,m2,m4,m5,m7,m8,m9,m10,m15,m17,m18,m999,m1001,m1015
0.0,-0.6666666666666666,-0.6666666666666666,-0.33333333333333337,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-0.33333333333333337,0.0,-0.33333333333333337,0.0,/projects/vsokolov/timing-austin//experiments/Sim52,1348107,325616,17055,794,24463,104513,21875,73949,3656,49573,62330,1749,269,82752
-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-0.33333333333333337,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-0.33333333333333337,0.0,-0.33333333333333337,0.0,/projects/vsokolov/timing-austin//experiments/Sim53,1326506,321733,16757,820,24050,98688,21865,72833,3733,49573,62330,1823,316,82971
-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-0.33333333333333337,-0.6666666666666666,-0.6666666666666666,0.0,-0.6666666666666666,-0.33333333333333337,0.0,-0.33333333333333337,0.0,/projects/vsokolov/timing-austin//experiments/Sim54,1335691,322655,17141,732,23862,96506,22253,72977,3771,49573,62330,1795,312,83001
-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-0.33333333333333337,-0.6666666666666666,0.0,0.0,-0.6666666666666666,-0.33333333333333337,0.0,-0.33333333333333337,0.0,/projects/vsokolov/timing-austin//experiments/Sim55,1331390,316386,18257,1101,23588,82921,23243,69233,3575,49573,62330,1856,312,82897
-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-0.33333333333333337,-0.6666666666666666,0.0,0.0,-0.6666666666666666,-0.33333333333333337,0.0,-1.0,0.0,/projects/vsokolov/timing-austin//experiments/Sim56,1330861,316646,17883,1140,23766,82503,23054,69181,3853,49573,62330,1822,291,82630
-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-0.33333333333333337,-0.6666666666666666,0.0,0.0,-0.6666666666666666,-0.33333333333333337,-0.6666666666666666,-1.0,0.0,/projects/vsokolov/timing-austin//experiments/Sim57,1330191,317045,18103,1126,23475,82287,23366,69927,3589,49573,62330,1848,282,83031
-0.6666666666666666,-0.6666666666666666,0.0,-0.33333333333333337,-0.6666666666666666,0.0,0.0,-0.6666666666666666,-0.33333333333333337,-0.6666666666666666,-1.0,0.0,/projects/vsokolov/timing-austin//experiments/Sim58,1301942,310761,18465,1125,23870,73656,21076,67796,3597,49573,62330,1952,310,84388
-0.6666666666666666,-0.6666666666666666,0.0,-1.0,-0.6666666666666666,0.0,0.0,-0.6666666666666666,-0.33333333333333337,-0.6666666666666666,-1.0,0.0,/projects/vsokolov/timing-austin//experiments/Sim59,1274089,305040,18794,1103,25020,74611,17835,69188,3512,49573,62330,2103,376,86755
-0.33333333333333337,-0.6666666666666666,-0.33333333333333337,-0.33333333333333337,-1.0,0.0,-0.33333333333333337,-1.0,-0.33333333333333337,-1.0,-0.33333333333333337,0.0,/projects/vsokolov/timing-austin//experiments/Sim6,1329064,322282,17713,1199,23638,91993,22734,71994,3687,49573,62330,1729,318,85218
-0.6666666666666666,-0.6666666666666666,0.0,-1.0,-0.6666666666666666,0.0,0.0,-0.6666666666666666,-0.33333333333333337,-0.6666666666666666,-1.0,-0.6666666666666666,/projects/vsokolov/timing-austin//experiments/Sim60,1273502,305640,18700,1019,24705,75068,18048,69543,3452,49573,62330,2032,396,86398
